id,source_type,source_id,agent_id,provider_id,severity,status,assigned_role,assigned_to,recommended_action,created_at,updated_at
1,liquidity,1,1,1.0,urgent,open,provider_ops,,"Contact bKash distributor to top up e-money wallet, or request transfer from connected bank portal.",2026-07-11 03:52:50.434088,2026-07-11 03:52:50.434091
2,liquidity,2,2,,urgent,open,field_officer,,"Instruct field officer to deliver cash collection to Sajib Telecom, or coordinate transfer from near-by agent.",2026-07-11 03:52:50.446267,2026-07-11 03:52:50.446270
3,anomaly,1,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.451600,2026-07-11 03:52:50.451604
4,anomaly,2,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.455990,2026-07-11 03:52:50.455991
5,anomaly,3,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.460443,2026-07-11 03:52:50.460445
6,anomaly,4,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.464896,2026-07-11 03:52:50.464898
7,anomaly,5,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.469037,2026-07-11 03:52:50.469038
8,anomaly,6,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.473201,2026-07-11 03:52:50.473203
9,anomaly,7,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.477354,2026-07-11 03:52:50.477355
10,anomaly,8,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.481316,2026-07-11 03:52:50.481318
11,anomaly,9,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.485355,2026-07-11 03:52:50.485356
12,anomaly,10,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.489627,2026-07-11 03:52:50.489629
13,anomaly,11,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.493796,2026-07-11 03:52:50.493798
14,anomaly,12,2,2.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.497969,2026-07-11 03:52:50.497971
15,anomaly,13,2,2.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.502111,2026-07-11 03:52:50.502113
16,anomaly,14,2,2.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.505620,2026-07-11 03:52:50.505622
17,anomaly,15,2,2.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.509644,2026-07-11 03:52:50.509646
18,anomaly,16,2,2.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.513638,2026-07-11 03:52:50.513639
19,anomaly,17,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.517278,2026-07-11 03:52:50.517279
20,anomaly,18,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.520604,2026-07-11 03:52:50.520605
21,anomaly,19,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.533705,2026-07-11 03:52:50.533709
22,anomaly,20,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.579331,2026-07-11 03:52:50.579338
23,anomaly,21,2,1.0,review,open,risk_analyst,,"Review transaction history for CUST_SUSPECT. Do not block user wallet, but contact agent to verify physical identity.",2026-07-11 03:52:50.588170,2026-07-11 03:52:50.588177
24,liquidity,3,4,2.0,review,acknowledged,provider_ops,Officer Tanvir,Prepare Nagad top-up or coordinate cash-out balance check.,2026-07-11 03:52:50.597789,2026-07-11 03:52:50.602963
